brand,domain,email,firstName,linkedin
Atelier Particulier,atelierparticulier.com,hello@atelierparticulier.com,Paul,
Asphalte,asphalte.com,contact@asphalte.com,William,
Sézane,sezane.com,presse@sezane.com,Morgane,
Balzac Paris,balzacparis.fr,contact@balzacparis.fr,Chrysoline,
Le Slip Français,leslipfrancais.fr,bonjour@leslipfrancais.fr,Guillaume,
Faguo,faguo.fr,contact@faguo.fr,Frédéric,
Veja,veja-store.com,contact@veja.fr,Sebastien,
Patine,patine.fr,hello@patine.fr,Charlotte,
Octobre Editions,octobre-editions.com,serviceclient@octobre-editions.com,Marion,
Loom,loom.fr,contact@loom.fr,Julia,
